Symbol,Name,Price,Chg %,Vol,Rel vol,Mkt cap,P/E,EPS diluted TTM,EPS diluted growth TTM YoY,Div yield TTM,Sector,Analyst rating
NSE:POWERINDIA,POWERINDIA,35275.0,-0.4936530324400564,47411,0.29576548369206856,1583589263050.0,136.6745332821377,258.0949,123.3922537356839,0.02251713413175338,Electronic Technology,0.4454545454545455
NSE:TECHM,TECHM,1592.0,-1.1180124223602486,1901729,0.6199701341758305,1573820282109.0,27.524204702627937,57.84,12.990818519242051,3.175987046954789,Technology Services,0.02121212121212121
NSE:TRENT,TRENT,2942.1,-0.13238289205702955,717768,0.49244639449774674,1573034924316.0,86.72442202878727,33.9247,14.214196015850417,0.13559322033898305,Retail Trade,-0.2909090909090909
NSE:ICICIAMC,ICICIAMC,3106.0,-0.9566326530612245,215913,0.9360047963564337,1550686710570.0,,,,0.8685535793969529,Finance,-0.06293706293706294
NSE:BHEL,BHEL,425.0,-2.5117559353136802,7413730,0.811913302417958,1514697506104.0,60.838570222025,6.9857,739.324762705755,0.32183908045977005,Producer Manufacturing,0.3090909090909091
NSE:TATACAP,TATACAP,363.15,1.0855949895615804,853946,0.3980344431567843,1514571298968.0,28.192905775217568,12.8809,22.38849932539005,0.15870806069887233,Finance,0.26666666666666666
NSE:CUMMINSIND,CUMMINSIND,5350.0,-1.834862385321101,177001,0.31331891720426286,1510740066528.0,62.65003805843434,85.395,10.550987832206392,1.2110091743119267,Producer Manufacturing,-0.35757575757575755
NSE:IDEA,IDEA,14.12,2.9905178701677486,820377714,1.8610068154822232,1484299507460.0,4.089790007241129,3.4525,,,Communications,0.49090909090909096
NSE:VBL,VBL,439.3,1.2561945372824683,4033671,1.4120632735759673,1474754778320.0,43.87822369603868,10.0118,17.785882352941165,0.34403669724770647,Consumer Non-Durables,-0.3090909090909091
NSE:UNIONBANK,UNIONBANK,185.5,-1.799894123875069,6682553,0.4553693159985315,1435117828125.0,6.859369973339053,27.0433,9.751870911186503,2.6595744680851063,Finance,0.4
NSE:CGPOWER,CGPOWER,894.2,-0.5117935024476981,1568625,0.6838665563324792,1415384274596.0,112.65653740519566,7.9374,21.12620173966123,0.14470169189670526,Producer Manufacturing,0.28787878787878785
NSE:POLYCAB,POLYCAB,9139.0,-2.4653148345784417,256329,1.0910774181465275,1407842730103.0,48.1613169609097,189.7581,29.270672035740542,0.5029427501337613,Producer Manufacturing,-0.17878787878787877
NSE:SIEMENS,SIEMENS,3957.0,0.3550595992898808,120374,0.24686856290642648,1403862712686.0,43.02410415377774,91.9717,12.43704033330725,0.3044062809162629,Producer Manufacturing,0.4
NSE:LTM,LTM,4562.2,-2.931914893617025,258617,0.7466609616973092,1392251488351.0,25.87894945827897,176.29,10.818456122705543,1.5978865287513049,Technology Services,0.04242424242424242
NSE:BOSCHLTD,BOSCHLTD,48730.0,3.747072599531616,93884,1.5924229137655264,1384069095450.0,60.81690342992109,801.2575,-11.324573260766062,0.575400969230966,Producer Manufacturing,0.5121212121212121
NSE:BPCL,BPCL,310.3,-2.005368703615969,5279338,1.112050504377079,1375294748535.0,7.738752871169592,40.0969,-1.167107053418259,5.520504731861198,Energy Minerals,-0.4454545454545455
NSE:BSE,BSE,3308.0,-0.7202881152460985,5805438,1.2302909491685314,1357120508789.0,53.969305365443006,61.2941,87.748031978436,0.3001200480192077,Finance,-0.3787878787878788
NSE:PNB,PNB,116.5,-0.6989430617115523,7854896,0.5160531816827747,1350420844727.0,6.061930555772363,19.2183,31.335337934804897,2.553191489361702,Finance,0.35454545454545455
NSE:BRITANNIA,BRITANNIA,5495.0,-0.470929179496468,281416,0.7150065602060239,1334145411056.0,50.82602699560371,108.1139,18.70317262338712,1.633898427485602,Consumer Non-Durables,-0.06666666666666667
NSE:ENRIN,ENRIN,3593.2,-0.34667332279446433,182367,0.1537245240210216,1283939129625.0,85.99546233450444,41.7836,,0.11094623268198649,Producer Manufacturing,0.5575757575757576
NSE:BANKBARODA,BANKBARODA,244.0,-1.0342729669438293,3516143,0.45246023417828496,1277326368652.0,6.948102797750409,35.1175,-6.666436328264112,3.4412955465587043,Finance,-0.5121212121212121
NSE:APOLLOHOSP,APOLLOHOSP,8817.0,-0.09631182369270863,474992,0.8631020738057374,1274794730927.0,60.70110917043194,145.2527,32.730263308188924,0.22558087074216107,Health Services,-0.024242424242424246
NSE:BAJAJHLDNG,BAJAJHLDNG,11254.0,-1.0985148079796117,21563,0.5027664629611064,1264116339079.0,14.141820570279533,795.7957,5.477965019776226,1.2765882518664602,Finance,0.17575757575757575
NSE:LODHA,LODHA,1211.1,-3.4210526315789545,1546585,1.4699081246238708,1253907083740.0,29.395631067961162,41.2,39.001349527665326,0.3386454183266932,Finance,-0.024242424242424246
NSE:GROWW,GROWW,193.81,-2.4560873722884873,57090190,3.1251808338623652,1246563641108.0,50.320654290536154,3.8515,34.92730775967772,,Miscellaneous,-0.4300699300699301
NSE:PFC,PFC,374.45,0.013354700854703892,7432713,0.7857330278416154,1237538177490.0,4.744257351730079,78.927,7.1267151037715095,3.9599999999999995,Finance,-0.35454545454545455
NSE:TATAPOWER,TATAPOWER,381.0,-0.1310615989515072,2827020,0.7886593870042727,1219022057251.0,31.556976493779715,12.0734,-4.977254482204981,0.655307994757536,Utilities,-0.08787878787878788
NSE:TMPV,TMPV,322.8,-2.241066020593573,9852938,0.930503581073074,1217379773939.0,1.526750773544266,211.4294,267.43427855431065,0.9075782786265314,Consumer Durables,-0.603030303030303
NSE:CANBK,CANBK,129.1,-1.5255530129672008,6610758,0.36723806357051925,1192790654785.0,5.896781207035942,21.8933,7.343776813512792,3.193916349809886,Finance,-0.13333333333333333
NSE:INDIANB,INDIANB,875.0,-0.7035860190649166,467195,0.26728197864009684,1189369202515.0,9.21890095950321,94.9137,16.568087306597373,2.066817667044168,Finance,0.31212121212121213
NSE:HDFCLIFE,HDFCLIFE,538.25,-0.8747697974217311,1269058,0.34288285538710545,1179653978027.0,58.82513661202186,9.15,4.847026469577174,0.3867403314917127,Finance,-0.4666666666666667
NSE:MUTHOOTFIN,MUTHOOTFIN,2894.1,0.1938722520339245,499350,0.5060046185398025,1160243893738.0,10.216029434138362,283.2901,84.78855875542219,1.0380622837370241,Finance,-0.3333333333333333
NSE:CIPLA,CIPLA,1431.1,-0.02794271742927635,589389,0.7038808515516958,1155230090942.0,34.318944844124694,41.7,-37.509366102202904,0.9090909090909091,Health Technology,-0.08787878787878788
NSE:HEROMOTOCO,HEROMOTOCO,5745.5,0.008703220191470844,485934,0.5678466783352026,1152813339844.0,21.11695089679506,272.08,8.15280041340382,3.2118055555555554,Consumer Durables,0.3333333333333333
NSE:JINDALSTEL,JINDALSTEL,1101.5,-1.3081265119612857,561873,0.7936934851146614,1139948490601.0,41.23599417492447,26.7121,-8.765164763101813,0.1789709172259508,Non-Energy Minerals,0.0
NSE:IRFC,IRFC,86.11,-1.0798391728891414,5598157,0.9438644361382508,1136960009766.0,15.64981916653036,5.5023,7.793123714369678,2.413793103448276,Finance,-0.603030303030303
NSE:SBIFUNDS,SBIFUNDS,554.85,-0.430686406460292,1615162,0.7600086034696865,1135938797862.0,,,,,Finance,-0.2857142857142857
NSE:GAIL,GAIL,173.5,0.8134805345729261,6078594,0.5818204894510121,1134533457663.0,11.547958973130196,15.0243,-15.103519200777516,3.187481889307447,Utilities,-0.13333333333333333
NSE:LGEINDIA,LGEINDIA,1649.4,-1.0913888222595238,812304,0.5768601054733408,1131276036869.0,61.35612891706098,26.8824,,,Consumer Durables,0.3787878787878788
NSE:ZYDUSLIFE,ZYDUSLIFE,1115.6,-1.4052143172779576,809855,0.3779839180585772,1129174283691.0,24.868147104586207,44.8606,-1.276608855057254,0.08833922261484099,Health Technology,-0.22424242424242424
NSE:UNITDSPR,UNITDSPR,1520.9,-1.5598705501618064,328343,0.7147924815332758,1123757126770.0,64.0144452347982,23.7587,11.426534660894944,1.1003236245954693,Consumer Non-Durables,0.2212121212121212
NSE:MARICO,MARICO,841.55,-1.2323220468282379,536739,0.3187074067100402,1106226420410.0,57.87667464443894,14.5404,12.923743622003212,0.4694835680751174,Consumer Non-Durables,-0.33636363636363636
NSE:GVT&D,GVT&D,4195.0,-2.2144522144522143,512446,0.5130975826201694,1098439653625.0,82.30509192860745,50.9689,70.59577601499481,0.2331002331002331,Producer Manufacturing,-0.4242424242424242
NSE:ABCAPITAL,ABCAPITAL,402.0,0.8276899924755485,4314210,1.552004513760581,1095133361578.0,25.968992248062015,15.48,19.536679536679546,,Finance,0.02121212121212121
NSE:LLOYDSME,LLOYDSME,1938.6,-0.17507723995881003,347854,0.5239165098901376,1088990034263.9999,22.73217636022514,85.28,211.127325793506,0.05156898641157208,Non-Energy Minerals,0.02121212121212121
NSE:HDFCAMC,HDFCAMC,2525.0,0.07927070947284978,672049,0.8943502081275335,1081035732594.0,36.839801575722205,68.54,12.934585598945475,2.1418796977569756,Finance,-0.3787878787878788
NSE:GMRAIRPORT,GMRAIRPORT,101.39,0.07896555127825317,6637608,0.6969371697870911,1071736021972.9999,266.6053115961083,0.3803,,,Transportation,-0.31212121212121213
NSE:TATACONSUM,TATACONSUM,1061.6,-1.0255454036919636,939857,0.6526441630811493,1064906442626.9999,64.24555649021731,16.5241,22.823800498011675,0.929368029739777,Consumer Non-Durables,-0.4666666666666667
NSE:VEDL,VEDL,264.0,-2.1134593993325876,9766069,0.7137607861001425,1055218209329.0,5.278944211157769,50.01,34.652665589660735,12.59959236612933,Non-Energy Minerals,-0.3333333333333333
NSE:LENSKART,LENSKART,628.4,3.4233048057932773,10855550,1.2534143852813309,1054360202801.0001,165.86601910996146,3.7886,,,Health Technology,0.5979020979020979
NSE:ASHOKLEY,ASHOKLEY,176.35,-0.4234895539243365,14204979,0.6506351039332388,1042609172363.0,29.785329437397603,5.9207,8.451632993240898,1.971830985915493,Producer Manufacturing,0.5575757575757576
NSE:MAZDOCK,MAZDOCK,2587.0,0.6732303381717781,1229008,1.060470773477669,1033459572510.0,36.514998390912325,70.8476,31.72493934126003,0.7072599531615925,Producer Manufacturing,0.49090909090909096
NSE:LUPIN,LUPIN,2232.0,-1.1952191235059761,694267,0.505704689969279,1032985049744.0,18.48753416714984,120.73,49.38134125216532,0.796742209631728,Health Technology,-0.4454545454545455
NSE:AMBUJACEM,AMBUJACEM,412.4,-0.6863335340156587,2376599,0.8009201655208744,1031199112549.0,23.344012860717076,17.6662,0.8333238205043367,0.48192771084337355,Non-Energy Minerals,-0.3090909090909091
NSE:OFSS,OFSS,11623.0,-1.4080922894223429,111491,0.5516347022564917,1025357645840.0,29.756784434203787,390.6,41.804320203303696,0.0,Technology Services,0.17575757575757575
